broad_category,level1_subject,level2_subject,specific_subject,volume_index,volume_title,source,paragraph_id,primary_subject,annotation_supported,original_subject,text
丧葬冥界,墓,墓,墓,26,卷十三·冥迹,卷十三·冥迹-2,V26-P002,长白山西,no,墓,长白山西有夫人墓，魏孝昭之世，搜扬天下才俊，清河崔罗什，弱冠有令望，被徵诣州，夜经于此。忽见朱门粉壁，楼台相望。俄有一青衣出，语什曰：「女郎须见崔郎。」什然下马，入两重门，内有一青衣通问引前。什曰：「行李之中，忽蒙厚命，素既不叙，无宜深入。」青衣曰：「女郎平陵刘府君之妻，侍中吴质之女。府君先行，故欲相见。」什遂前，入就床坐。其女在户东立，与什温凉。室内二婢秉烛，呼一婢令以玉夹膝置什前。什素有才藻，颇善风咏，虽疑其非人，亦惬心好也。女曰：「比见崔郎息驾庭树，嘉君吟啸，故欲一叙玉颜。」什遂问曰：「魏帝与尊公书，称尊公为元城令，然否？」女曰：「家君元城之日，妾生之岁。」什乃与论汉魏大事，悉与《魏史》符合，言多不能备载。什曰：「贵夫刘氏，愿告其名。」女曰：「狂夫刘孔才之第二子，名瑶，字仲璋。比有罪被摄，仍去不返。」什乃下床辞出，女曰：「从此十年，当更相逢。」什遂以玳瑁簪留之，女以指上玉环赠什。什上马行数十步，回顾乃见一大冢。什届历下，以为不祥，遂请僧为斋，以环布施。天统末，什为王事所牵，筑河堤于垣冢，遂于幕下话斯事于济南奚叔布，因下泣曰：「今岁乃是十年，可如何也作罢。」什在园中食杏，唯云：「报女郎信，我即去。」食一杏未尽而卒。什十二为郡功曹，为州里推重，及死，无不伤叹。
丧葬冥界,墓,墓,墓,31,卷十八·广动植之三,卷十八·广动植之三-21,V31-P021,楷,no,墓,楷，孔子墓上特多楷木。
丧葬冥界,尸,尸,尸,4,卷二·玉格,卷二·玉格-11,V04-P011,五藏、九宫、十二室、四支,no,尸,五藏、九宫、十二室、四支、五体、三焦、九窍、百八十机关、三百六十骨节，三万六千神随其所而居之。魂以精为根，魄以目为户。三魂可拘，七魄可制。庚申日，伏尸言人过。本命日，天曹计人行。三尸一日三朝，上尸青姑伐人眼，中尸白姑伐人五藏，下尸血姑伐人胃。命，亦曰玄灵。又曰一居人头中，令人多思欲，好车马，其色黑；一居人腹，令人好食饮，恚怒，其色青；一居人足，令人好色，喜煞。七守庚申三尸灭，三守庚申三尸伏。
丧葬冥界,尸,尸,尸,4,卷二·玉格,卷二·玉格-17,V04-P017,人死形如,no,尸,人死形如生，足皮不青恶，目光不毁，头发尽脱，皆尸解也。白日去曰上解，夜半去曰下解，向晓、向暮谓之地下主者。太一守尸，三魂营骨，七魄卫肉，胎灵录气，所谓太阴练形也。赵成子后五六年，肉朽骨在，液血于内，紫色发外。又曰若人暂死，适太阴权过三官，血沉脉散，而五藏自生，白骨如玉，三光惟息，太神内闭，或三年至三十年。
丧葬冥界,尸,尸,尸,4,卷二·玉格,卷二·玉格-18,V04-P018,又曰白日尸解,no,尸,又曰白日尸解自是仙，非尸解也。鹿皮公吞玉华而流虫出尸，王西城漱龙胎而死诀，饮琼精而扣棺。仇季子咽金液而臭彻百里，季主服霜散以潜升，而头足异处。黑狄咽虹丹而投水，宁生服石脑而赴火，柏成纳气而胃肠三腐。
丧葬冥界,尸,尸,尸,4,卷二·玉格,卷二·玉格-20,V04-P020,真人用宝剑以尸解者,no,尸,真人用宝剑以尸解者，蝉化之上品也。锻用七月庚申、八月辛酉日，长三尺九寸，广一寸四分，厚三分半，杪九寸，名子干，字良非。青乌公入华山，四百七十一岁，十二试三不过。后服金水勺而升太极，以为试三不过，但仙人而已，不得真人位。有传先生入然山七年，老君与之木钻，使穿一盘石，石厚五尺，曰：「此石穴，当得道。」积四十七年，石穿，得神丹。
丧葬冥界,尸,尸,尸,5,卷二·壶史,卷二·壶史-8,V05-P008,宝历中,no,尸,宝历中，荆州有卢山人，常贩桡朴石灰，往来于白水狄南草市，时时微露奇迹，人不之测。贾人赵元卿好事，将从之游，乃频市其所货，设果茗，诈访其息利之术。卢觉，竟谓曰：「观子意，似不在所市，意有何也？」赵乃言：「窃知长者埋形隐德，洞过蓍龟，愿垂一言。」卢笑曰：「今且验，君主人午时有非常之祸也，若是吾言当免。君可告之，将午，当有匠饼者负囊而至。囊中有钱二千馀，而必非意相干也。可闭关，戒妻孥勿轻应对。及午，必极骂，须尽家临水避之。若尔，徒费三千四百钱也。」时赵停于百姓张家，即遽归语之。张亦素神卢生，乃闭门伺也。欲午，果有人状如卢所言，叩门求籴，怒其不应，因足其户，张重箦捍之。顷聚人数百，张乃自从门率妻孥回避。差午，其人乃去，行数百步，忽蹶倒而死。其妻至，众人具告其所为。妻痛切，乃号适张所，诬其夫死有因。官不能评，众具言张闭户逃避之状。识者谓张曰：「汝固无罪，可为办其死。」张欣然从断，其妻亦喜。及市就舆，正当三千四百文。因是，人赴之如市。卢不耐，竟潜逝。至复州界，维舟于陆奇秀才庄门。或语陆：「卢山人，非常人也。」陆乃谒。陆时将入京投相知，因请决疑，卢曰：「君今年不可动，忧旦夕祸作。君所居堂后有钱一С，覆以板，非君有也。钱主今始三岁，君慎勿用一钱，用必成祸。能从吾戒乎？」陆矍然谢之。及卢生去，水波未定，陆笑谓妻子曰：「卢生言如是，吾更何求乎。」乃命家童锹其地，未数尺，果遇板，彻之，有巨瓮，散钱满焉。陆喜。其妻以裙运纫草贯之，将及一万，儿女忽暴头痛，不可忍。陆曰：「岂卢生言将征乎？」因奔马追及，且谢违戒。卢生怒曰：「君用之必祸骨肉，骨肉与利轻重，君自度也。」棹舟去之不顾。陆驰归，醮而瘗焉，儿女豁愈矣。卢生到复州，又常与数人闲行，途遇六七人，盛服俱带，酒气逆鼻。卢生忽叱之曰：「汝等所为不悛，性命无几！」其人悉罗拜尘中，曰：「不敢，不敢。」其侣讶之，卢曰：「此辈尽劫江贼也。」其异如此。赵元和言，卢生状貌，老少不常，亦不常见其饮食。尝语赵生曰：「世间刺客隐形者不少，道者得隐形术，能不试，二十年可易形，名曰脱离。后二十年，名籍于地仙矣。」又言：「刺客之死，尸亦不见」所论多奇怪，盖神仙之流也。
丧葬冥界,尸,尸,尸,6,卷三·贝编,卷三·贝编-30,V06-P030,魏李骞、崔︱至梁同泰寺,no,尸,魏李骞、崔︱至梁同泰寺，主客王克、舍人贺季友及三僧迎门引接。至浮图中，佛旁有执板笔者。僧谓骞曰：「此是尸头，专记人罪。」骞曰：「便是僧之董狐。」复入二堂，佛前有铜钵，中燃灯。︱曰：「可谓日月出矣，爝火不息。」
丧葬冥界,尸,尸,尸,6,卷三·贝编,卷三·贝编-8,V06-P008,色界天下石,no,尸,色界天下石，经十万八千三百八十三年方至地。阎浮提人生三肘半至四肘，骨四（一曰五）十五，脉十三，身虫有毛灯真血。禅都摩虫流行血中。善色虫处粪中，令人安乐。起根虫饱则喜。欢喜□虫能见众梦，又有广痪等。赊婆罗人穿唇。驼面目有诸人，二足。师子有翼，女人狗面。有林名吱多迦，罗刹所住。旬目问行百千由旬，洲有赤地黑玉铜康白等。郁单越鸡多迦等天河七十。自在无畏四天王否如鸭音林、麒麟陀树、迦吱多那等。二十五鹿名。有山多牛头旃檀，天人与阿修罗斗，伤者于此涂香。提罗迦树花，见日光即开。拘尼陀树花，见月光即开。无忧树，女人触之，花方开。尸利沙树，足蹈即长。又白龙、活鹅、旋鼻境界等花。瞿陀尼女人主乳，有十亿聚落，一万二城大国。多伽多支五大河，月力等弗婆提。三大林峪{髟}等。三（一作王）大城，大者三亿五十万三千五百五十六聚落。南洲耳发庄严，北洲眼庄严，西洲顶腹庄严，东洲肩┩庄严。生赡部者，见白ふ。生郁林越，见赤ふ，见母如鹅。生瞿陀夷，生黄屋，见母如牛。生弗婆提，见青ふ，见母如马。阿修罗以鬼摄魔及鬼有神通者，二畜摄在海地下八万四千有由旬。酒树。又有树，群蜂流蜜，其色如金。婆罗婆树，其实如瓮。
丧葬冥界,尸,尸,尸,7,卷四·境异,卷四·境异-18,V07-P018,昆吾国,no,尸,昆吾国，累堑为丘，象浮屠，有三层，尸乾居上，尸湿居下，以近葬为至孝。集大毡居，中悬衣服彩绘，哭祀之。龟兹国，元日斗牛马驼，为戏七日，观胜负，以占一年羊马减耗繁息也。婆罗遮，并服狗头猴面，男女无昼夜歌舞。八月十五日，行像及透索为戏。焉耆国，元日、二月八日婆摩遮，三日野祀。四月十五日游林。五月五日弥勒下生。七月七日祀先祖。九月九日床撒。十月十日王为法。王出首领家，首领骑王马，一日一夜处分王事。十月十四日作乐至岁穷。
丧葬冥界,尸,尸,尸,7,卷四·境异,卷四·境异-20,V07-P020,苏都识匿国,no,尸,苏都识匿国有夜叉城，城旧有野叉，其窟见在。人近窟住者五百馀家，窟口作舍，设关，一年再祭。人有逼窟口，烟气出，先触者死，因以尸掷窟口。其窟不知深浅。
丧葬冥界,尸,尸,尸,12,卷五·怪术,卷五·怪术-6,V12-P006,长寿寺僧誓,no,尸,长寿寺僧誓言他时在衡山，村人为毒蛇所噬，须臾而死，发解肿起尺馀。其子曰：「昝老若在，何虑！」遂迎昝至。乃以灰围其尸，开四门，先曰：「若从足入，则不救矣。」遂踏步握固，久而蛇不至。昝大怒，乃取饭数升，捣蛇形诅之，忽蠕动出门。有顷，饭蛇引一蛇从死者头入，径吸其疮，尸渐低。蛇疱缩而死，村人乃活。
丧葬冥界,尸,尸,尸,18,卷八·黥,卷八·黥-1,V18-P001,都街肆恶,no,尸,上都街肆恶少，率髡而肤，备众物形状。持诸军张拳强劫（一曰「弓剑」），至有以蛇集酒家，捉羊脾击人者。今京兆薛公上言白，令里长潜部，约三千馀人，悉杖煞，尸于市。市人有点青者，皆炙灭之。时大宁坊力者张，左膊曰「生不怕京兆尹」，右膊曰「死不畏阎罗王」。又有王力奴，以钱五千，召工可胸腹为山亭院，池榭、草木、鸟兽，无不悉具，细若设色。公悉杖杀之。
丧葬冥界,尸,尸,尸,20,卷八·梦,卷八·梦-8,V20-P008,汉仪,no,尸,汉仪，大傩人辰子辞，有伯奇食梦。道门言梦者魄妖，或谓三尸所为。释门言有四：一善恶种子，二四大偏增，三贤圣加持，四善恶徵祥。成式尝见僧首素言之，言出《藏经》，亦未暇寻讨。又言梦不可取，取则著，著则怪入。夫瞽者无梦，则知梦者习也。成式表兄卢有则，梦看击鼓。及觉，小弟戏叩门为街鼓也。又成式姑婿裴元裕言，群从中有悦邻女者，梦女遗二樱桃，食之。及觉，核坠枕侧。
丧葬冥界,尸,尸,尸,23,卷十·物异,卷十·物异-59,V23-P059,焦米,no,尸,焦米，乾陀国昔尸毗王仓库为火所烧，其中粳米焦者，于今尚存。服一粒，永不患疟。
丧葬冥界,尸,尸,尸,24,卷十一·广知,卷十一·广知-16,V24-P016,西域书,no,尸,西域书有驴唇书、莲叶书、节分书、大秦书、驮乘书、牛书、树叶书、起尸书、石旋书、覆书、天书、龙书、鸟音书等，有六十四种。
丧葬冥界,尸,尸,尸,27,卷十四·诺皋记上,卷十四·诺皋记上-28,V27-P028,天宝,no,尸,天宝初，安思顺进五色玉带，又于左藏库中得五色玉杯。上怪近日西尽无五色玉，令责安西诸蕃。蕃言：「比常进皆为小勃律所劫，不达。」上怒，欲征之。群臣多谏，独李右座赞成上意，且言武成王天运谋勇可将。乃命王天运将四万人，兼统诸蕃兵伐之。及逼勃律城下，勃律君长恐惧请罪，悉出宝玉，愿岁贡献。天运不许，即屠城，虏三千人及其珠玑而还。勃律中有术者言：「将军无义，不祥，天将大风雪矣。」行数百里，忽起风四起，雪花如翼，风激小海水成冰柱，起而复摧。经半日，小海涨涌，四万人一时冻死，唯蕃汉各一人得还。具奏，玄宗大惊异，即令中使随二人验之。至小海侧，冰犹峥嵘如山，隔冰见兵士尸，立者坐者，莹彻可数。中使将返，冰忽稍释，众尸亦不复见。
丧葬冥界,尸,尸,尸,29,卷十六·广动植之一,卷十六·广动植之一-51,V29-P051,虎交而月晕,no,尸,虎交而月晕。仙人郑思远常骑虎，故人许隐齿痛求治，郑曰：「唯得虎须，及热插齿间即愈。」郑为拔数茎与之，因知虎须治齿也。虎杀人，能令尸起自解衣，方食之。虎威如乙字，长一寸，在胁两旁皮内，尾端亦有之。佩之临官佳，无官人所冒嫉。虎夜视，一目放光，一目看物。猎人候而射之，光坠入地成白石，主小儿惊。
丧葬冥界,尸,尸,尸,29,卷十六·广动植之一,卷十六·广动植之一-52,V29-P052,马,no,尸,马，虏中护兰马，玉白马也，亦曰玉面谙真马，十三岁马也。以十三岁已下，可以留种。旧种马，戎马八尺，田马七尺，怒马六尺。瓜州饲马以草，沙州以茨萁，凉州以勃突浑，蜀以稗草。以萝卜根饲马，马肥。安比饲马以沙蓬根针。大食国马解人语。悉怛国、怛国出好马。马四岁，两齿。至二十岁，齿尽平。体名有输鼠、外凫、乌头、龙翅、虎口。猪槽饲马，石灰泥槽，汗而系门，三事落驹。回毛在颈，白马。黑马鞍下腋下回毛，右胁白毛，左右后足白。马四足黑，目下横毛；黄马白喙，旋毛在吻后，汗沟上通尾本，目赤睫乱及反睫；白马黑目，目白却视，并不可骑。夜眼名附蝉，尸肝名悬逢，亦曰鸡舌、绿衣失。方言以地黄、甘草啖五十岁，生三驹。
丧葬冥界,尸,尸,尸,32,卷十九·广动植类之四,卷十九·广动植类之四-44,V32-P044,毗尸沙花,no,尸,毗尸沙花，一名日中金钱花，本出外国，梁大同一年进来中土。
丧葬冥界,葬,葬,葬,3,卷一·天咫,卷一·天咫-2,V03-P002,僧一行博览无不知,no,葬,僧一行博览无不知，尤善于数，钩深藏往，当时学者莫能测。幼时家贫，邻有王姥，前后济之数十万。及一行开元中承上敬遇，言无不可，常思报之。寻王姥儿犯杀人罪，狱未具。姥访一行求救，一行曰：「姥要金帛，当十倍酬也。明君执法，难以请{{一曰情}}求，如何？」王姥戟手大骂曰：「何用识此僧！」一行从而谢之，终不顾。一行心计浑天寺中工役数百，乃命空其室内，徙大瓮于中。又密选常住奴二人，授以布囊，谓曰：「某坊某角有废园，汝向中潜伺，从午至昏，当有物入来。其数七，可尽掩之。失一则杖汝。」奴如言而往。至酉后，果有群豕至，奴悉获而归。一行大喜，令置瓮中，覆以木盖，封于六一泥，朱题梵字数寸，其徒莫测。诘朝，中使叩门急召。至便殿，玄宗迎问曰：「太史奏昨夜北斗不见，是何祥也，师有以禳之乎？」一行曰：「后魏时，失荧惑，至今帝车不见，古所无者，天将大警于陛下也。夫匹妇匹夫不得其所，则陨霜赤旱，盛德所感，乃能退舍。感之切者，其在葬枯出系乎？释门瞋以心坏一切善，慈心降一切魔。如臣曲见，莫若大赦天下。」玄宗从之。又其夕，太史奏北斗一星见，凡七日而复。成式以此事颇怪，然大传众口，不得不著之。
丧葬冥界,葬,葬,葬,7,卷四·境异,卷四·境异-18,V07-P018,昆吾国,no,葬,昆吾国，累堑为丘，象浮屠，有三层，尸乾居上，尸湿居下，以近葬为至孝。集大毡居，中悬衣服彩绘，哭祀之。龟兹国，元日斗牛马驼，为戏七日，观胜负，以占一年羊马减耗繁息也。婆罗遮，并服狗头猴面，男女无昼夜歌舞。八月十五日，行像及透索为戏。焉耆国，元日、二月八日婆摩遮，三日野祀。四月十五日游林。五月五日弥勒下生。七月七日祀先祖。九月九日床撒。十月十日王为法。王出首领家，首领骑王马，一日一夜处分王事。十月十四日作乐至岁穷。
丧葬冥界,葬,葬,葬,7,卷四·境异,卷四·境异-22,V07-P022,峡中俗,no,葬,峡中俗，夷风不改。武宁蛮好著芒心接离，名曰苎绥。尝以稻记年月。葬时以笄向天，谓之刺北斗。相传盘瓠初死，置于树，以笄刺其下，其后为象临。
丧葬冥界,葬,葬,葬,12,卷五·怪术,卷五·怪术-17,V12-P017,玄宗既召,no,葬,玄宗既召见一行，谓曰：「师何能？」对曰：「惟善记览。」玄宗因诏掖庭取宫人籍以示之，周览既毕，覆其本，记念精熟，如素所习读。数幅之后，玄宗不觉降御榻，为之作礼，呼为圣人。先是一行既从释氏，师事普寂于嵩山。师尝设食于寺，大会群僧及沙门，居数百里者，皆如期而至，聚且千馀人。时有卢鸿者，道高学富，隐于嵩山。因请鸿为文赞叹其会。至日，鸿持其文至寺，其师受之，致于几案上。钟梵既作，鸿请普寂曰：「某为文数千言，况其字僻而言怪，盍于群僧中选其聪悟者，鸿当亲为传授。」乃令召一行。既至，伸纸微笑，止于一览，复致于几上。鸿轻其疏脱，而窃怪之。俄而群僧会于堂，一行攘袂而进，抗音兴裁，一无遗忘。鸿惊愕久之，谓寂曰：「非君所能教导也，当从其游学。」一行因穷大衍，自此访求师资，不远数千里。尝至天台国清寺，见一院，古松数十步，门有流水。一行立于门屏间，闻院中僧于庭布算，其声籁籁。既而谓其徒曰：「今日当有弟子求吾算法，已合到门，岂无人道达耶？」即除一算，又谓曰：「门前水合却西流，弟子当至。」一行承言而入，稽首请法，尽受其术焉。而门水旧东流，今忽改为西流矣。邢和璞尝谓尹惜曰：「一行，其圣人乎？汉之洛下闳造大衍历，云后八百岁当差一日，则有圣人定之，今年期毕矣。而一行造大衍历，正在差谬，则洛下闳之言信矣。」又尝诣道土尹崇，借扬雄《太玄经》。数日，复诣崇还其书。崇曰：「此书意旨深远，吾寻之数年，尚不能晓。吾子试更研求，何遽还也。」「一行曰：「究其义矣。」因出所撰《太衍玄图》及《义诀》一卷以示崇，崇大嗟服，曰：「此后生颜子也。」至开元末，裴宽为河南尹，深信释氏，师事普寂禅师，日夕造焉。居一日，宽诣寂，寂云：「方有小事，未暇疑语，且请迟回休憩也。」宽乃屏息，止于空室。见寂洁正堂，焚香端坐。坐未久，忽闻叩门，连云：「天师一行和尚至矣。」一行入，诣寂作礼。礼讫，附耳密语，其貌绝恭，但额云无不可者。语讫礼，礼讫又语。如是者三，寂惟云：「是，是。」无不可者。一行语讫，降阶入南室，自阖其户。寂乃徐命弟子云：「遣钟，一行和尚灭度矣。」左右疾走视之，一行如其言灭度。后宽乃服衰葬之，自徒步出城送之。
丧葬冥界,葬,葬,葬,27,卷十四·诺皋记上,卷十四·诺皋记上-3,V27-P003,天山,no,葬,天山有神，是为浑水敦。状如橐而光，其光如火。六足重翼，无面目。是识（一曰「嗜音」）歌舞，实为帝江。形夭与帝争神，帝断其首，葬之常羊山，乃以乱为目，脐为口，操干戚而舞焉。
丧葬冥界,葬,葬,葬,32,卷十九·广动植类之四,卷十九·广动植类之四-6,V32-P006,苔,no,葬,苔，慈恩寺唐三藏院后檐阶，开成末有苔，状如苦苣。初于砖上，色如盐绿，轻嫩可爱。谈论僧义林，太和初改葬棋法师，初开冢，香气袭人，侧卧砖台上，形如生。砖上苔厚二寸馀，作金色，气如檀。
人物政事,一将军家,一将军家,一将军家,16,卷七·酒食,卷七·酒食-14,V16-P014,贞元中,yes,贞元,贞元中，有一将军家出饭食，每说物无不堪吃，唯在火候，善均五味。尝取败障泥胡（一曰鹿），修理食之，其味极佳。道流陈景思说，敕使齐日升养樱桃，至五月中，皮皱如鸿柿不落，其味数倍。人不测其法。
人物政事,一行,一行,一行,25,卷十二·语资,卷十二·语资-7,V25-P007,一行公本不解弈,no,观,一行公本不解弈，因会燕公宅，观王积薪棋一局，遂与之敌，笑谓燕公曰：「此但争先耳，若念贫道四句乘除语，则人人为国手。」
人物政事,三白草,三白草,三白草,32,卷十九·广动植类之四,卷十九·广动植类之四-39,V32-P039,三白草,no,三白草,三白草，此草初生不白，入夏叶端方白。农人候之莳，曰：「三叶白，草毕秀矣。」其叶似薯蓣。
人物政事,三蔬,三蔬,三蔬,32,卷十九·广动植类之四,卷十九·广动植类之四-58,V32-P058,三蔬,no,三蔬,三蔬，晋时有芳蔬园，在墉（一曰「金墉」）之东，有菜名芸薇，类有三种：紫色为上蔬，味辛；黄色为中蔬，味甘；青者为下蔬，味咸。常以三蔬充御菜，可以藉食。
